iter	Logloss
0	0.6908226187
1	0.6879353779
2	0.685673398
3	0.6831046749
4	0.6810917228
5	0.6782865503
6	0.6755243993
7	0.6727400045
8	0.6696000971
9	0.6672571844
10	0.6649685271
11	0.6631652741
12	0.6611996432
13	0.6582710917
14	0.656237605
15	0.6540524185
16	0.651742321
17	0.649435684
18	0.647098538
19	0.6450653452
20	0.6431783909
21	0.6417268235
22	0.6389907507
23	0.6372563134
24	0.6350497168
25	0.6327653277
26	0.6304611884
27	0.6276883047
28	0.6252968344
29	0.6230570697
30	0.620604587
31	0.6189842249
32	0.6158616477
33	0.6132173737
34	0.6102070474
35	0.6078460852
36	0.6047658011
37	0.6026357901
38	0.6001988032
39	0.5977686021
40	0.5951814435
41	0.5927439652
42	0.5907818864
43	0.5882722735
44	0.5861925473
45	0.5844333893
46	0.582142741
47	0.5799532956
48	0.5779950471
49	0.5764927642
50	0.5741445438
51	0.5721999285
52	0.5693263097
53	0.5667147993
54	0.5647239931
55	0.5626511457
56	0.5606019536
57	0.5586027689
58	0.5556329444
59	0.554469393
60	0.5522000505
61	0.5495655466
62	0.5479236938
63	0.5463621642
64	0.544611457
65	0.5419912517
66	0.5399074014
67	0.5377178427
68	0.5361713005
69	0.5342368183
70	0.531633748
71	0.5301901195
72	0.5277371675
73	0.5261085536
74	0.5233541584
75	0.5212620782
76	0.5193842954
77	0.5177446966
78	0.5154700779
79	0.5140234724
80	0.5120536634
81	0.5107778241
82	0.5092712134
83	0.5074795146
84	0.506032171
85	0.50423702
86	0.5023830378
87	0.5008593192
88	0.4992249735
89	0.4978095626
90	0.4962621847
91	0.493875448
92	0.4925733317
93	0.4910392283
94	0.4894563854
95	0.4883401313
96	0.4866154245
97	0.4848865209
98	0.4831812343
99	0.4813138669
100	0.4797558941
101	0.477917161
102	0.4771752177
103	0.4755175977
104	0.4741857442
105	0.4724404996
106	0.471158034
107	0.4696286376
108	0.4683634428
109	0.4666949433
110	0.4650716979
111	0.46351292
112	0.4621516672
113	0.4604290613
114	0.4589898521
115	0.45787837
116	0.4566782864
117	0.4549807304
118	0.4535039394
119	0.4520842813
120	0.4499613824
121	0.4487429466
122	0.4466129321
123	0.4456443542
124	0.4439501375
125	0.4428047179
126	0.4412665986
127	0.4394498378
128	0.4380267927
129	0.4369811838
130	0.4354342948
131	0.4341195098
132	0.4325281044
133	0.4315578274
134	0.4303009838
135	0.42923413
136	0.4275123469
137	0.4259316609
138	0.4254357489
139	0.4238664939
140	0.4221767277
141	0.4210422544
142	0.4201637806
143	0.4186266613
144	0.417421427
145	0.4162736458
146	0.415109445
147	0.413838519
148	0.412515278
149	0.4113101982
150	0.410046132
151	0.4088492916
152	0.4078156965
153	0.406326933
154	0.4053826573
155	0.4040740402
156	0.4033223841
157	0.4022064143
158	0.4007945077
159	0.3994779752
160	0.3982268106
161	0.3966397643
