iter	Passed	Remaining
0	51	51819
1	53	26929
2	54	18030
3	54	13577
4	54	10885
5	54	9108
6	55	7839
7	55	6886
8	55	6144
9	56	5555
10	56	5069
11	56	4669
12	56	4324
13	57	4031
14	57	3779
15	57	3558
16	58	3361
17	58	3184
18	58	3022
19	58	2880
20	59	2753
21	59	2634
22	59	2529
23	59	2430
24	59	2338
25	60	2255
26	60	2176
27	60	2102
28	60	2036
29	62	2011
30	62	1949
31	62	1892
32	62	1838
33	62	1786
34	63	1737
35	63	1692
36	63	1649
37	63	1609
38	63	1571
39	63	1533
40	64	1498
41	64	1466
42	64	1435
43	64	1405
44	64	1376
45	65	1349
46	65	1323
47	65	1298
48	65	1274
49	65	1251
50	66	1229
51	66	1208
52	66	1188
53	66	1169
54	66	1150
55	67	1132
56	67	1114
57	67	1097
58	67	1081
59	67	1065
60	68	1049
61	68	1034
62	68	1020
63	68	1006
64	69	992
65	69	979
66	69	966
67	69	954
68	69	942
69	70	930
70	70	919
71	70	907
72	70	897
73	70	886
74	71	876
75	71	865
76	71	856
77	71	846
78	71	837
79	72	829
80	72	820
81	72	811
82	72	802
83	72	794
84	73	786
85	73	778
86	73	770
87	73	763
88	73	756
89	74	748
90	74	741
91	74	734
92	74	727
93	74	720
94	74	714
95	75	707
96	75	700
97	75	694
98	75	688
99	75	682
100	75	676
101	76	670
102	76	663
103	76	658
104	76	652
105	76	647
106	76	642
107	77	637
108	77	632
109	77	628
110	77	623
111	78	619
112	78	614
113	78	610
114	78	605
115	78	601
116	82	624
117	83	620
118	83	616
119	83	611
120	83	608
121	85	616
122	86	613
123	86	611
124	86	608
125	87	605
126	87	601
127	87	598
128	88	595
129	88	591
130	88	587
131	88	584
132	89	581
133	89	577
134	89	574
135	89	570
136	90	567
137	90	564
138	90	560
139	90	556
140	90	553
141	90	549
142	91	546
143	91	543
144	91	539
145	91	536
146	92	534
147	92	531
148	92	528
149	92	525
150	92	522
151	93	519
152	93	516
153	93	513
154	93	510
155	93	507
156	94	505
157	94	502
158	94	499
159	94	496
160	94	494
161	95	491
162	95	489
163	95	486
164	95	483
165	96	483
166	96	481
167	97	482
168	97	479
169	97	477
170	97	475
171	98	472
172	98	470
173	98	468
174	98	465
175	99	463
176	99	461
177	99	458
178	99	456
179	99	454
180	99	452
181	100	449
182	100	447
183	100	445
184	100	443
185	100	441
186	101	440
187	101	438
188	101	436
189	101	433
190	101	431
191	102	429
192	102	428
193	102	426
194	102	424
195	102	422
196	103	420
197	103	418
198	103	416
199	103	415
200	103	413
201	104	411
202	104	409
203	104	408
204	104	406
205	105	405
206	105	403
207	105	401
208	105	400
209	105	398
210	106	397
211	106	395
212	106	394
213	106	392
214	107	391
215	107	389
216	107	388
217	107	386
218	107	385
219	108	383
220	108	382
221	108	380
222	108	379
223	109	377
224	109	376
225	109	374
226	109	373
227	109	372
228	110	370
229	110	369
230	110	368
231	110	366
232	111	365
233	111	364
234	111	362
235	111	361
236	111	360
237	112	358
238	112	357
239	112	356
240	112	354
241	112	353
242	113	352
243	113	351
244	113	350
245	113	348
246	114	347
247	114	346
248	114	345
249	114	344
250	115	343
251	115	343
252	116	342
253	116	341
254	116	340
255	116	339
256	117	338
257	117	337
258	117	336
259	117	335
260	118	334
261	118	333
262	118	332
263	118	330
264	118	329
265	119	328
266	119	327
267	119	326
268	119	325
269	120	324
270	120	323
271	120	322
272	120	321
273	120	320
274	121	319
275	121	318
276	121	317
277	121	316
278	122	315
279	122	314
280	122	313
281	122	312
282	123	311
283	123	311
284	123	310
285	123	309
286	124	308
287	124	307
288	124	306
289	124	305
290	125	305
291	125	304
292	125	303
293	125	302
294	126	301
295	126	300
